# parent_basename,category,score
explorer.exe,interactive,0.00
cmd.exe,interactive,0.00
pwsh.exe,interactive,0.00
powershell.exe,interactive,0.00
conhost.exe,interactive,0.00

wscript.exe,script_host,0.85
cscript.exe,script_host,0.85
mshta.exe,script_host,0.85
python.exe,script_host,0.85
pythonw.exe,script_host,0.85
node.exe,script_host,0.85

winword.exe,office,0.95
excel.exe,office,0.95
powerpnt.exe,office,0.95
outlook.exe,office,0.95
onenote.exe,office,0.95

rundll32.exe,lolbin,0.85
regsvr32.exe,lolbin,0.85
wmic.exe,lolbin,0.85
installutil.exe,lolbin,0.85
msbuild.exe,lolbin,0.85
certutil.exe,lolbin,0.85
bitsadmin.exe,lolbin,0.85
forfiles.exe,lolbin,0.85
hh.exe,lolbin,0.85

svchost.exe,service_host,0.20
taskeng.exe,service_host,0.20
taskhostw.exe,service_host,0.20
services.exe,service_host,0.50
wmiprvse.exe,service_host,0.50

w3wp.exe,web_server,0.85
httpd.exe,web_server,0.85
nginx.exe,web_server,0.85
tomcat9.exe,web_server,0.85
php-cgi.exe,web_server,0.85

chrome.exe,browser,0.95
msedge.exe,browser,0.95
firefox.exe,browser,0.95
iexplore.exe,browser,0.95
opera.exe,browser,0.95
brave.exe,browser,0.95

wermgr.exe,wermgr,0.80
